,sdi
2371,848194
2372,344711
2373,26225
2374,751841
2375,317440
2376,426164
2377,592861
2378,103701
2379,292869
2380,60402
2381,114382
2382,875154
2383,761823
2384,167889
2385,287249
2386,776765
2387,470596
2388,693288
2389,711843
2390,18315
2391,637123
2392,320741
2393,17462
2394,497587
2395,334620
2396,34057
2397,566136
2398,784716
2399,224635
2400,291187
2401,420724
2402,53096
2403,372330
2404,781810
2405,473552
2406,742528
2407,127226
2408,775428
2409,108112
2410,519552
2411,841601
2412,644950
2413,19163
2414,433320
2415,548234
2416,821455
2417,468923
2418,673627
2419,116055
2420,575170
2421,682808
2422,59359
2423,784517
2424,99456
2425,477958
2426,237163
2427,734896
2428,490915
2429,128095
2430,783802
2431,376891
2432,782448
2433,271166
2434,746586
2435,88651
2436,174079
2437,676703
2438,685997
2439,413571
2440,563687
2441,59578
2442,166412
2443,679018
2444,20544
2445,706828
2446,103527
2447,587490
2448,41338
2449,3802
2450,234479
2451,200139
2452,626058
2453,119831
2454,214691
2455,166342
2456,374819
2457,29749
2458,434921
2459,523026
2460,353858
2461,293663
2462,289770
2463,485749
2464,636778
2465,94497
2466,439829
2467,789045
2468,751284
2469,344143
2470,857213
2471,486762
2472,111752
2473,782801
2474,127834
2475,433730
2476,189069
2477,54028
2478,379774
2479,630601
2480,869406
2481,824494
2482,153285
2483,833335
2484,562651
2485,772389
2486,390567
2487,743449
2488,359034
2489,742715
2490,232707
2491,152568
2492,272657
2493,307356
2494,444768
2495,793499
